notes,size,item_id,supplier,supplier_order_id,cost,order_date
,L,58,SSense,377383983628,480,10/24/2018
,L,17,SSense,377159980288,440,10/24/2018
,L,93,SSense,377159980288,150,10/24/2018
,L,103,SSense,377384536138,210,10/24/2018
,L,78,SSense,380917064074,615,11/6/2018
,L,18,SSense,381013753324,299,11/6/2018
,L,71,SSense,381013753324,440,11/6/2018
,L,48,SSense,380918484814,365,11/6/2018
,L,42,END Clothing,2401043227,305,11/6/2018
,L,105,SSense,380917064074,215,11/6/2018
,L,113,SSense,384957806494,179,11/19/2018
,L,121,SSense,396971741794,116,11/26/2018
,L,155,SSense,396971741794,204,11/26/2018
,L,98,SSense,409181186704,117,12/11/2018
,M,28,SSense,409181186704,88,12/11/2018
Using Zach's Personal,M,30,SSense,410093933224,109,12/12/2018
,M,152,Farfetch,DUKFL5,189,12/29/2018
,M,147,The Hut,150645777,119,1/4/2019
,S,159,EBay,302996061035,250,1/9/2019
,L,118,Barneys,B0119010975588,87,1/9/2019
,L,130,Mr Porter,601750713,90,1/11/2019
,L,189,END Clothing,2401153553,239,1/18/2019
,M,157,StockX,3947485,334,1/18/2019
At Zach's Office,M,167,END Clothing,2401153553,59,1/18/2019
,L,185,Nordstrom,916960510,131,1/22/2019
,M,158,StockX,4000975,237,1/22/2019
,L,191,END Clothing,2401158389,255,1/22/2019
,L,92,Nike,C00059529057,163,1/27/2019
,L,129,Alexander Wang,3101Z9F2519381,141,1/30/2019
,L,108,END Clothing,2401166190,167,1/30/2019
,L,190,DICK'S,10162422658,271,1/30/2019
,L,192,Grailed,,178,2/20/2019
,L,189,END Clothing,2401196408,239,2/27/2019
,L,176,END Clothing,2401196408,119,2/27/2019
,L,179,END Clothing,2401209301,161,3/12/2019
,L,115,Trouva,1764928,141,3/15/2019
,L,117,Tate + Yoko,51740,152,3/16/2019
,M,183,Mercari,m23727590234,186,3/17/2019
Return by 4/5/2018,XL,7,Carhartt WIP US,32034,235,3/21/2019
Should exchange for black,XL,193,Maison Kitsune,In Store,207,3/21/2019
Return by 4/5/2018,XL,154,Nudie Jeans,1909362,230,3/22/2019
,XL,38,END Clothing,2401220174,149,3/22/2019
,XL,122,END Clothing,2401220174,159,3/22/2019
,L,26,Farfetch,E4FLJN,165,3/22/2019
,S,161,END Clothing,2401220174,35,3/22/2019
,L,125,END Clothing,2401220174,175,3/22/2019
,L,186,END Clothing,2401220174,195,3/22/2019
,M,127,END Clothing,2401223303,181,3/25/2019
Return by 4/8/2019,M,212,Opening Ceremony,519964,190,3/25/2019
Return by 4/8/2019,L,216,Ssense,457324145554,248,3/25/2019
Return by 4/8/2019,L,210,Ssense,457324145554,135,3/25/2019
,L,208,SSense,,105,3/25/2019
Return by 4/25/2019,L,147,Diesel,US00641874,235,3/25/2019
,S,199,END Clothing,2401224821,71,3/26/2019
Can be replaced with a cheaper option from blue cream if we keep. Return by 4/16/2019,L,215,SSense,459751164124,270,4/2/2019
Return by 4/16/2019,L,207,SSense,459751164124,100,4/2/2019
To Barron's,M,178,Grailed,2401231979,135,4/3/2019
,M,195,END Clothing,2401231979,105,4/3/2019
