title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url,brand_description
1017 ALYX 9SM,1017 ALYX 9SM x Nike Zip Hoodie,Black,Black & Snake,Sweaters,Hoodies & Zipups,Multi Zip-Up Hoodie,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/3/1/31-07-2019_1017alyx9smxnike_ziphoody_black_snake_akusw0007ot01blk0001_ja_1.jpg","With over a decade of experience in the streetwear, music, and art industries, Been Trill co-founder and frequent Nick Knight collaborator Matthew M. Williams launched his womenswear label 1017 ALYX 9SM in 2015. Emerging in Spring/Summer 2017, the brand’s debut menswear collection rises as a collaboration with Japanese brand ‘fragment design.’ Channeling the same downtown spirit and youthful subversion that colors his women’s line, bold text and embroidered graphics round out the 1017 ALYX 9SM's collection of unconventional basics. Slim cashmere gabardine trousers and crisp button-up shirts blend seamlessly with streamlined tailoring and workwear silhouettes, while subtle details and embroidered graphics adorn supple leather trousers, utility backpacks, and the label's signature rollercoaster belt."
Acne Studios,Karlos Multi Jacquard Knit,Pink,Bright Pink,Sweaters,Sweaters,Knit Crewneck Sweater,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/8/18-09-2019_acnestudios_karlosmultijacquardknit_brightpink_b60073-acv_gh_1.jpg","Ambition to Create Novel Expression” – this acronym forms the mission statement of Acne Studios, a creative collective and lifestyle brand that started off in Stockholm in 1996 with 100 pairs of minimalist raw denim jeans. Founder and creative director Jonny Johansson distributed the jeans to his friends in the Swedish creative community, and demand for the brand’s novel and pared-back vision grew from there. Now comprising arms focusing on design, production, and advertising, the collective’s fashion division split off independently in 2006. Its menswear offerings present a wardrobe of understated yet distinctive basics updated with perfected proportions and nuanced colorways. Leather and shearling jackets, well cut denim, progressive tailored pieces, and pared-back knits, button-downs, and t-shirts all reflect Johansson’s intellectual take on Scandinavian minimalism."
Acne Studios,2001 Western Shirt,Purple,Rainbow Spray,Tops,Longsleeve Shirts,Tie-Dye Longsleeve Shirt,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/8/18-09-2019_acnestudios_2001westernshirt_rainbowspray_bb0163-bnh_blr_1.jpg","Ambition to Create Novel Expression” – this acronym forms the mission statement of Acne Studios, a creative collective and lifestyle brand that started off in Stockholm in 1996 with 100 pairs of minimalist raw denim jeans. Founder and creative director Jonny Johansson distributed the jeans to his friends in the Swedish creative community, and demand for the brand’s novel and pared-back vision grew from there. Now comprising arms focusing on design, production, and advertising, the collective’s fashion division split off independently in 2006. Its menswear offerings present a wardrobe of understated yet distinctive basics updated with perfected proportions and nuanced colorways. Leather and shearling jackets, well cut denim, progressive tailored pieces, and pared-back knits, button-downs, and t-shirts all reflect Johansson’s intellectual take on Scandinavian minimalism."
Acne Studios,Kally Sporty Woll Rib Knit,Navy,Navy,Sweaters,Turtlenecks,Solid Ribbed Turtleneck Sweater,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/8/18-09-2019_acnestudios_kallysportywoolribknit_navy_b60071-885_si_1.jpg","Ambition to Create Novel Expression” – this acronym forms the mission statement of Acne Studios, a creative collective and lifestyle brand that started off in Stockholm in 1996 with 100 pairs of minimalist raw denim jeans. Founder and creative director Jonny Johansson distributed the jeans to his friends in the Swedish creative community, and demand for the brand’s novel and pared-back vision grew from there. Now comprising arms focusing on design, production, and advertising, the collective’s fashion division split off independently in 2006. Its menswear offerings present a wardrobe of understated yet distinctive basics updated with perfected proportions and nuanced colorways. Leather and shearling jackets, well cut denim, progressive tailored pieces, and pared-back knits, button-downs, and t-shirts all reflect Johansson’s intellectual take on Scandinavian minimalism."
Aime Leon Dore,Stripe Rugby Shirt,Navy,Navy,Tops,Shirts,Colorblock Rugby Shirt,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/9/19-03-2019_aimeleondore_striperugbyshirt_midnightcombo_ss19ct013b_bb_1.jpg","Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,French Terry Logo Rugby Shirt,Blue,Navy & Teal,Tops,Shirts,Colorblock Rugby Shirt,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/2/7/27-02-2019_aimeleondore_frenchterrylogorugbyshirt_navigatebluecombo_ss19ct018g_blr_1_1.jpg","Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Long Sleeve Block Logo Tee,Yellow,Yellow,Tops,Longsleeve T-Shirts,Colorblock Longsleeve T-Shirt,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/2/7/27-02-2019_aime_leondorelongsleeveblocklogotee_highlighteryellow_ss19ct008f_bb_1_1.jpg","Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Long Sleeve Logo Ribbed Collar Tee,Blue,Midnight,Tops,Longsleeve T-Shirts,Logo Longsleeve T-Shirt,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/2/7/27-02-2019_aimeleondore_longsleevelogoribbedcollartee_midnight_ss19ct016b_ja_1.jpg","Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Pegasus Tee,Beige,Oatmeal,Tops,Longsleeve T-Shirts,Longsleeve Graphic T-Shirt,https://res.cloudinary.com/fictive-kin/image/upload/v1/verygoods/prod/2a99a2a9358ccb8528834880deb8094dc81450cf,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Pegasus Tee,Green,Botanical Green,Tops,Longsleeve T-Shirts,Longsleeve Graphic T-Shirt,"https://process.fs.grailed.com/AJdAgnqCST4iPtnUxiGtTz/cache=expiry:max/rotate=deg:exif/resize=height:2200,fit:scale/output=format:jpg,quality:90/compress/https://cdn.fs.grailed.com/api/file/URMpPB2QPmUgOS5pgyGv","Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
