title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url,description
Aime Leon Dore,Longsleeve Mockneck Dimebag Tee,Blue,Amparo Blue,Tops,Longsleeve T-Shirts,Longsleeve Mockneck T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b44d2127f785e4b44d212ada.087765885e4b44d212ada_1024x1024.jpg?v=1582132421,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Mockneck Dimebag Tee,Yellow,Golden Rod,Tops,Longsleeve T-Shirts,Longsleeve Mockneck T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b44d24933185e4b44d24948d.691528585e4b44d24948d_1024x1024.jpg?v=1582132439,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Mockneck Dimebag Tee,Green,Parasailing,Tops,Longsleeve T-Shirts,Longsleeve Mockneck T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b44d2b5c0e25e4b44d2b5e79.006630585e4b44d2b5e79_1024x1024.jpg?v=1582132468,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Mockneck Dimebag Tee,Pink,Heather Rose,Tops,Longsleeve T-Shirts,Longsleeve Mockneck T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b44d27e96f55e4b44d27ebee.073022795e4b44d27ebee_1024x1024.jpg?v=1582132449,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Mockneck Dimebag Tee,Grey,Heather Grey,Tops,Longsleeve T-Shirts,Longsleeve Mockneck T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b44d26195c85e4b44d261b1b.639133345e4b44d261b1b_1024x1024.jpg?v=1582154381,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Ribbed Collar Tee,Grey,Heather Grey,Tops,Longsleeve T-Shirts,Longsleeve Ribbed T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b4159833c615e4b4159835ce.382539035e4b4159835ce_1024x1024.jpg?v=1582056819,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Ribbed Collar Tee,Navy,Maritime Blue,Tops,Longsleeve T-Shirts,Longsleeve Ribbed T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b414c2151b75e4b414c21747.419231745e4b414c21747_1024x1024.jpg?v=1582056827,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Ribbed Collar Tee,Green,Meadow,Tops,Longsleeve T-Shirts,Longsleeve Ribbed T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b414c47ef175e4b414c48104.863246865e4b414c48104_1024x1024.jpg?v=1582056836,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Longsleeve Aime Sport Tee,Navy,Maritime Blue,Tops,Longsleeve T-Shirts,Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e4b4814103f015e4b48141064b.112933215e4b48141064b_1024x1024.jpg?v=1582053043,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
Aime Leon Dore,Gradient Logo Hoodie,Navy,Maritime Blue,Sweaters,Hoodies & Zipups,Logo Pullover Hoodie,https://cdn.shopify.com/s/files/1/0302/7829/products/AIME_SS20_PRODUCT_R2_15_1024x1024.jpg?v=1582125605,"Following the unequivocal success of their initial 2014 launch, New York City-based fashion and lifestyle brand Aimé Leon Dore has continued to expand their expertise in fresh yet timeless design. Drawing largely on founder Teddy Santis’ nostalgic memories of growing up in Queens, the label owes its signature high-low blend of urban and tailored essentials to the cultural confluence of the borough from which it sprung. With influences ranging from graffiti kids to basketball stars, well-considered details and unusual combinations put a novel spin on menswear favorites. Trench coats and bombers layered with streetwear staples like hoodies and t-shirts result in an unexpectedly elevated aesthetic, utility jackets and colorblocked windbreakers deliver refined utilitarian appeal."
The Arrivals,AER Jacket,Yellow,Bolt Ripstop,Jackets & Coats,Down,Down Puffer Jacket,"https://images.prismic.io/thearrivals/ae973ef2-ab0c-4c01-baa6-8d3cd453568f_AER-CLASSIC_BOLT_TA.jpg?auto=compress,format&rect=761,0,1678,1925&w=1280&h=1468","Jeff Johnson, the cofounder of the Arrivals, was trained as an architect and designed many things over the course of his career, from an airport to a museum to furniture to single-family homes. But in 2013, he launched a direct-to-consumer outerwear company that allowed him to bring his obsession with weaving together form and function into jackets and coats. The Arrivals creates outerwear designed to withstand the elements, but that's also aesthetically pleasing."
The Arrivals,Niels II Bomber,Black,Smoke,Jackets & Coats,Jackets,Bomber Jacket,"https://images.prismic.io/thearrivals/5ae3b8dcfeed1939319f66077c5a7f98743f32c5_232-003-cover1.jpg?auto=compress,format","Jeff Johnson, the cofounder of the Arrivals, was trained as an architect and designed many things over the course of his career, from an airport to a museum to furniture to single-family homes. But in 2013, he launched a direct-to-consumer outerwear company that allowed him to bring his obsession with weaving together form and function into jackets and coats. The Arrivals creates outerwear designed to withstand the elements, but that's also aesthetically pleasing."
The Arrivals,Niels III Bomber,Pink,Mars,Jackets & Coats,Jackets,Bomber Jacket,"https://images.prismic.io/thearrivals/7ddd0c45f696a5d899902866c2d6d56a4b1d1016_niels-iii_mars.jpg?auto=compress,format","Jeff Johnson, the cofounder of the Arrivals, was trained as an architect and designed many things over the course of his career, from an airport to a museum to furniture to single-family homes. But in 2013, he launched a direct-to-consumer outerwear company that allowed him to bring his obsession with weaving together form and function into jackets and coats. The Arrivals creates outerwear designed to withstand the elements, but that's also aesthetically pleasing."
The Arrivals,Larsen Rain Parka,Grey,Sage,Jackets & Coats,Coats,Raincoat,"https://images.prismic.io/thearrivals/35b7fe171511dd75b952564239642b9a1532c976_larsen_sage.jpg?auto=compress,format","Jeff Johnson, the cofounder of the Arrivals, was trained as an architect and designed many things over the course of his career, from an airport to a museum to furniture to single-family homes. But in 2013, he launched a direct-to-consumer outerwear company that allowed him to bring his obsession with weaving together form and function into jackets and coats. The Arrivals creates outerwear designed to withstand the elements, but that's also aesthetically pleasing."
The Arrivals,Larsen Rain Parka,Black,Charcoal,Jackets & Coats,Coats,Raincoat,"https://images.prismic.io/thearrivals/f1420ae55cf5b6762b8b0973a9fa63746d91f944_larsen-charcoal.jpg?auto=compress,format","Jeff Johnson, the cofounder of the Arrivals, was trained as an architect and designed many things over the course of his career, from an airport to a museum to furniture to single-family homes. But in 2013, he launched a direct-to-consumer outerwear company that allowed him to bring his obsession with weaving together form and function into jackets and coats. The Arrivals creates outerwear designed to withstand the elements, but that's also aesthetically pleasing."
The Arrivals,AER Jacket,Green,Light Army,Jackets & Coats,Down,Down Puffer Jacket,"https://images.prismic.io/thearrivals/d1a14023-3cba-4aae-a03a-16cae01e7a13_AER-CLASSIC_LIGHT-ARMY_TA.jpg?auto=compress,format&rect=761,0,1678,1925&w=1280&h=1468","Jeff Johnson, the cofounder of the Arrivals, was trained as an architect and designed many things over the course of his career, from an airport to a museum to furniture to single-family homes. But in 2013, he launched a direct-to-consumer outerwear company that allowed him to bring his obsession with weaving together form and function into jackets and coats. The Arrivals creates outerwear designed to withstand the elements, but that's also aesthetically pleasing."
