title,subtitle,color,supplier_color,category,sub_category,meta_category,hidden,image_remote_url,description
Heron Preston,Heron Preston x NASA Manual Tell,Black,Black,Tops,T-Shirts,Graphic T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/0/2/02-07-2019_heronpreston_nasamanualtee_black_hmaa004f197600181001_mb_1.jpg","Parsons School of Design alumnus Heron Preston is unquestionably a creative Renaissance man. Following a move from his native San Francisco to New York City, the artist, DJ, and clothing designer launched his career by founding streetwear and art direction collective Been Trill alongside 1017 ALYX 9SM’s Matthew Williams and Off-White’s Virgil Abloh. Following the release of his ‘NASCAR’ t-shirt, which reinterpreted iconic trademarks into an over-branded visual feast, Preston was inspired to further explore the value and meaning of authenticity in today’s sartorial landscape. An eye-opening experience then prompted him to turn a critical eye to the garment industry’s role in the global pollution crisis. Producing a sustainable capsule collection in collaboration with the NYC Department of Sanitation, he demonstrated that environmental awareness and fresh aesthetics need not be mutually exclusive. Preston’s eponymous streetwear label, launched in 2016, propels his unique worldview with a reference-rich collection steeped in internet, youth, and counterfeit culture."
Heron Preston, Heron Preston x NASA Long Sleeve NASA Facts Tee,Black,Black,Tops,Longsleeves,Graphic Longsleeve T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/0/9/09-08-2019_heronpreston_longsleeveovernasafactstee_black_hmab002f196000201088_mo_1.jpg","Parsons School of Design alumnus Heron Preston is unquestionably a creative Renaissance man. Following a move from his native San Francisco to New York City, the artist, DJ, and clothing designer launched his career by founding streetwear and art direction collective Been Trill alongside 1017 ALYX 9SM’s Matthew Williams and Off-White’s Virgil Abloh. Following the release of his ‘NASCAR’ t-shirt, which reinterpreted iconic trademarks into an over-branded visual feast, Preston was inspired to further explore the value and meaning of authenticity in today’s sartorial landscape. An eye-opening experience then prompted him to turn a critical eye to the garment industry’s role in the global pollution crisis. Producing a sustainable capsule collection in collaboration with the NYC Department of Sanitation, he demonstrated that environmental awareness and fresh aesthetics need not be mutually exclusive. Preston’s eponymous streetwear label, launched in 2016, propels his unique worldview with a reference-rich collection steeped in internet, youth, and counterfeit culture."
Heron Preston,Patch Tee,Navy,Dark Blue,Tops,T-Shirts,Graphic T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/0/2/02-07-2019_heronpreston_patchtee_darkblue_hmaa004f197600023288_mb_1.jpg","Parsons School of Design alumnus Heron Preston is unquestionably a creative Renaissance man. Following a move from his native San Francisco to New York City, the artist, DJ, and clothing designer launched his career by founding streetwear and art direction collective Been Trill alongside 1017 ALYX 9SM’s Matthew Williams and Off-White’s Virgil Abloh. Following the release of his ‘NASCAR’ t-shirt, which reinterpreted iconic trademarks into an over-branded visual feast, Preston was inspired to further explore the value and meaning of authenticity in today’s sartorial landscape. An eye-opening experience then prompted him to turn a critical eye to the garment industry’s role in the global pollution crisis. Producing a sustainable capsule collection in collaboration with the NYC Department of Sanitation, he demonstrated that environmental awareness and fresh aesthetics need not be mutually exclusive. Preston’s eponymous streetwear label, launched in 2016, propels his unique worldview with a reference-rich collection steeped in internet, youth, and counterfeit culture."
Kenzo,Archive Print Paris Logo Tee,Blue,White,Tops,T-Shirts,Print Logo T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/0/8/08-07-2019_kenzo_archiveprintparislogotee_white_f965ts0534sm-01_jm_1.jpg","Kenzo Takada first introduced Paris to Japanese fashion with a handmade fashion line he started in 1970. His vibrant floral and jungle prints became a signature, alongside designs inspired by traditional kimonos and folk costumes that expressed a joyful and fresh attitude. He debuted men’s collections in 1993. Designers Carol Lim and Humberto Leon of Opening Ceremony took over as creative directors of Kenzo in 2011, bringing a spontaneity and playful energy to their vibrant and globally influenced designs. Alongside the pair’s cult favorite tiger and eye logo sweatshirts, colorblocked bags and backpacks, bomber jackets, vintage-style sweaters, slim jeans and trousers, polo shirts, and patterned button-downs are cut in distinctive prints and jacquards that pay homage to the label founder’s colorful eye, while citing the contemporary influences of skate culture, cinema, and Parisian street style."
Noon Goons,Fish Eye Tee,Black,Black,Tops,T-Shirts,Logo T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/2/4/24-08-2019_noongoons_fisheyetee_black_ngfw19039-blk_mb_1.jpg","Founded by Mr Kurt Narmore, Noon Goons is influenced by Southern California’s surf, skate and punk rock scenes. The casual streetwear range is designed in Los Angeles and exudes youthful rebellion. Graphic prints are a signature."
Ksubi,Heavy Metal Resort Shirt,Black,Black,Tops,Shirts,Print Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/3/13-09-2019_ksubi_heavymetalresortshirt_black_5000004140_si_1.jpg","Ksubi has accrued global renown for its artfully distressed streetwear, celebrating a creativity that eschews the high fashion canon for future-facing, anarchic youthful energy. The Australian label’s roots trace back to 1999, when Gareth Moody, Dan Single, and George Gorrow buckled under frustration at the lack of relevant denim on the market and started making their own. Using sandpapering and other distressing techniques to craft perfectly lived-in styles, the brand’s jeans signaled signifiers like punk, grunge, and slacker surfer, capturing a hitherto unexplored turn-of-the-century zeitgeist. Following an infamous debut at Australian Fashion Week 2001 assisted by a fleet of rats, the irreverent brand began attracting the attention of global culture figures. Expanding beyond denim, the Ksubi of today proposes a detailed line-up of graphic print t-shirts, luxe sweatshirts, jackets, knits, and more. Relaxed, slouchy, and above all self-confident, Ksubi’s pieces add inspired attitude to any ensemble."
Ksubi,Heavy Metal Resort Shirt,Black,Black,Tops,Button-Downs,Print Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/3/13-09-2019_ksubi_heavymetalresortshirt_black_5000004140_si_1.jpg","Ksubi has accrued global renown for its artfully distressed streetwear, celebrating a creativity that eschews the high fashion canon for future-facing, anarchic youthful energy. The Australian label’s roots trace back to 1999, when Gareth Moody, Dan Single, and George Gorrow buckled under frustration at the lack of relevant denim on the market and started making their own. Using sandpapering and other distressing techniques to craft perfectly lived-in styles, the brand’s jeans signaled signifiers like punk, grunge, and slacker surfer, capturing a hitherto unexplored turn-of-the-century zeitgeist. Following an infamous debut at Australian Fashion Week 2001 assisted by a fleet of rats, the irreverent brand began attracting the attention of global culture figures. Expanding beyond denim, the Ksubi of today proposes a detailed line-up of graphic print t-shirts, luxe sweatshirts, jackets, knits, and more. Relaxed, slouchy, and above all self-confident, Ksubi’s pieces add inspired attitude to any ensemble."
Ksubi,Sad World Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/3/13-09-2019_ksubi_sadworldtee_black_5000004157_jm_1.jpg","Ksubi has accrued global renown for its artfully distressed streetwear, celebrating a creativity that eschews the high fashion canon for future-facing, anarchic youthful energy. The Australian label’s roots trace back to 1999, when Gareth Moody, Dan Single, and George Gorrow buckled under frustration at the lack of relevant denim on the market and started making their own. Using sandpapering and other distressing techniques to craft perfectly lived-in styles, the brand’s jeans signaled signifiers like punk, grunge, and slacker surfer, capturing a hitherto unexplored turn-of-the-century zeitgeist. Following an infamous debut at Australian Fashion Week 2001 assisted by a fleet of rats, the irreverent brand began attracting the attention of global culture figures. Expanding beyond denim, the Ksubi of today proposes a detailed line-up of graphic print t-shirts, luxe sweatshirts, jackets, knits, and more. Relaxed, slouchy, and above all self-confident, Ksubi’s pieces add inspired attitude to any ensemble."
Ksubi,De Nimes Shirt,Black,Black,Tops,Button-Downs,Button-Up Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/7/17-05-2019_ksubi_denimesshirt_black_5000003083_cw_1.jpg","Ksubi has accrued global renown for its artfully distressed streetwear, celebrating a creativity that eschews the high fashion canon for future-facing, anarchic youthful energy. The Australian label’s roots trace back to 1999, when Gareth Moody, Dan Single, and George Gorrow buckled under frustration at the lack of relevant denim on the market and started making their own. Using sandpapering and other distressing techniques to craft perfectly lived-in styles, the brand’s jeans signaled signifiers like punk, grunge, and slacker surfer, capturing a hitherto unexplored turn-of-the-century zeitgeist. Following an infamous debut at Australian Fashion Week 2001 assisted by a fleet of rats, the irreverent brand began attracting the attention of global culture figures. Expanding beyond denim, the Ksubi of today proposes a detailed line-up of graphic print t-shirts, luxe sweatshirts, jackets, knits, and more. Relaxed, slouchy, and above all self-confident, Ksubi’s pieces add inspired attitude to any ensemble."
APC,Short Sleeve Logo Chambray Shirt,Blue,Indigo,Tops,Button-Downs,Button-Up Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/0/4/04-07-2019_apc_shortsleevelogochambrayshirt_indigo_codde-h12418-iai_th_1.jpg","Started in 1988 by creative director Jean Touitou, A.P.C. (short for Atelier de Production et de Creation) produces timeless, quintessentially Parisian men’s ready-to-wear. Refined materials and an attention to cut and fit define the label’s elevated closet staples, from its cult favorite raw denim jeans and mariner striped sweaters to printed button-downs and t-shirts. Timelessly styled leather and suede backpacks, desert boots, and derbys complement A.P.C.’s low-key menswear for a look that is casual, yet always polished."
