hidden,title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url,description
true,Aime Leon Dore,Longsleeve Fleece Tee,Navy,Flag Navy,Tops,Longsleeves,Fleece Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/ALDFW19CT028.NVY.progressive.jpg?v=1575481400,
true,Aime Leon Dore,Longsleeve Fleece Tee,Black,Black,Tops,Longsleeves,Fleece Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/ALDFW19CT028.BLK.progressive.jpg?v=1575481400,
true,Aime Leon Dore,Fleece Colorblocked Longsleeve Tee,Navy,Navy,Tops,Longsleeves,Fleece Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/ALDFW19CT029.NVY-1.progressive.jpg?v=1575481401,
true,Aime Leon Dore x New Balance,Nylon Track Pant,Red,High Risk Red,Bottoms,Track Pants,Solid Track Pant,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681d6255b5e05e681d6255df4.062290275e681d6255df4_1024x1024.jpg?v=1583957402,
true,Aime Leon Dore x New Balance,Nylon Pullover,Red,Red,Sweaters,Hoodies & Zipups,Solid Track Jacket,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681bb4752a495e681bb4754b0.679377105e681bb4754b0_1024x1024.jpg?v=1583954916,
true,Aime Leon Dore x New Balance,Deep Pile Pull-Over,Beige,Parmesan,Sweaters,Sweaters,Fleece Pullover Sweater,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e6817792af3d35e6817792b0db.836273405e6817792b0db_1024x1024.jpg?v=1583957085,
true,Aime Leon Dore x New Balance,Longsleeve Mesh Tee,Red,Red,Tops,Longsleeves,Longsleeve Logo T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e68182a5c64685e68182a5c882.792495335e68182a5c882_1024x1024.jpg?v=1583957278,
true,Aime Leon Dore x New Balance,Deep Pile Pullover,Yellow,Golden Rod,Sweaters,Sweaters,Fleece Pullover Sweater,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681778c901135e681778c932d.278379495e681778c932d_1024x1024.jpg?v=1583957060,
true,Aime Leon Dore x New Balance,Nylon Track Pant,Green,Evergreen,Bottoms,Track Pants,Solid Track Pant,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681d6218cf305e681d6218eab.817796865e681d6218eab_1024x1024.jpg?v=1583957381,
true,Aime Leon Dore x New Balance,Nylon Pullover,Green,Evergreen,Sweaters,Hoodies & Zipups,Solid Track Jacket,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681bb441fca15e681bb4421cb.463155885e681bb4421cb_1024x1024.jpg?v=1583954898,
true,Aime Leon Dore x New Balance,827 Graphic Tee,Beige,Oatmeal,Tops,T-Shirts,Graphic T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681712b2ede35e681712b30d3.650540915e681712b30d3_1024x1024.jpg?v=1583957036,
true,Aime Leon Dore x New Balance,Longsleeve Graphic Runners Tee,Yellow,Golden Rod,Tops,Longsleeves,Graphic Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681746cf27775e681746cf3c5.507066405e681746cf3c5_1024x1024.jpg?v=1583957000,
true,Aime Leon Dore x New Balance,Longsleeve Panel Tee,Navy,Maritime Blue,Tops,Longsleeves,Logo Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/0302/7829/products/AimeLeonDore5e681b3b4a47c15e681b3b4a6b4.626792665e681b3b4a6b4_1024x1024.jpg?v=1583957126,
true,Online Ceramics,I Will Get By Longsleeve Tee,Tie-Dye,Purple Tie-Dye,Tops,Longsleeves,Graphic Tie-Dye Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/1641/9675/products/IMG_5675.jpg?v=1584461725,
true,Online Ceramics,Yellow Bear Longsleeve Tee,Tie-Dye,Purple Tie-Dye,Tops,Longsleeves,Graphic Tie-Dye Longsleeve T-Shirt,https://cdn.shopify.com/s/files/1/1641/9675/products/Bear_Front.jpg?v=1584455288,
true,Kith,Nylon Field Pant 3.0,Navy,Marine Blue,Bottoms,Trousers,Nylon Sweatpant,https://cdn.shopify.com/s/files/1/0094/2252/products/KH6293-109_355_1296x.jpg?v=1589222740,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Denim Military Bomber,Denim,Blue Multi,Jackets & Coats,Bombers,Denim Bomber Jacket,https://cdn.shopify.com/s/files/1/0094/2252/products/KH1206-109_036.progressive.jpg?v=1589222738,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Washed Denim Military GI,Denim,Blue Multi,Jackets & Coats,Denim Jackets,Denim Jacket,https://cdn.shopify.com/s/files/1/0094/2252/products/KH1213-109_363.progressive.jpg?v=1589222749,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Quilted Colorblock Hoodie,Beige,Black Multi,Sweaters,Hoodies,Colorblock Pullover Hoodie,https://cdn.shopify.com/s/files/1/0094/2252/products/KH2399-100_059.progressive.jpg?v=1589222740,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
