hidden,title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url
true,Naked & Famous,Work Shirt,Green,Green Rinsed Oxford,Tops,Button-Downs,Denim Shirt,https://cdn4.nuorder.com/product/088e8aebf6b5fd5161a308822d9fc7b9.jpg
true,Naked & Famous,Hunter Heavyweight Terry,Green,Hunter Green,Sweaters,Sweaters,Crewneck Sweater,https://cdn3.nuorder.com/product/843287b30d8e2ed736989820ff5594fc.jpg
true,Naked & Famous,Denim Jacket,Denim,Natural Indigo Selvidge,Jackets & Coats,Denim Jackets,Denim Jacket,https://cdn1.nuorder.com/product/5c622527c1d54331530c1f06bb143703.jpg
true,Naked & Famous,Denim Jacket,Denim,Solid Black Selvedge,Jackets & Coats,Denim Jackets,Denim Jacket,https://cdn4.nuorder.com/product/d3397ba2cef0bc5c03bf51e7bd4405d7.jpg
true,Club Fantasy,Wavy Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
true,Club Fantasy,Wavy Longsleeve Tee,Black,Black,Tops,Longsleeves,Graphic Longsleeve T-Shirt,
true,Club Fantasy,Wavy Hoodie,Black,Black,Sweaters,Hoodies,Graphic Pullover Hoodie,
true,Club Fantasy,Inner Light Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
true,Club Fantasy,Inner Light Longsleeve Tee,Black,Black,Tops,Longsleeves,Graphic Longsleeve T-Shirt,
true,Club Fantasy,Inner Light Sweatpants,Black,Black,Bottoms,Sweatpants,Graphic Sweatpants,
true,Club Fantasy,Rave Candy Longsleeve Tee,Black,Black,Tops,Longsleeves,Logo Longsleeve T-Shirt,
true,Club Fantasy,Rave Candy Hoodie,Yellow,Yellow,Sweaters,Hoodies,Logo Pullover Hoodie,
true,Club Fantasy,Flying Saucers Tee,White,White,Tops,T-Shirts,Print Logo T-Shirt,
true,Club Fantasy,Flying Saucers Longsleeve Tee,Black,Black,Tops,Longsleeves,Graphic Longsleeve T-Shirt,
true,Club Fantasy,Elevate Tee,Blue,Blue Tie-Dye,Tops,T-Shirts,Graphic Tie-Dye T-Shirt,
true,Club Fantasy,Elevate Tee,White,White Tie-Dye,Tops,T-Shirts,Graphic Tie-Dye T-Shirt,
true,Club Fantasy,Elevate Hoodie,Blue,Blue Tie-Dye,Sweaters,Hoodies,Graphic Tie-Dye Hoodie,
true,Club Fantasy,Neo Logo Hoodie,Black,Black,Sweaters,Hoodies,Logo Pullover Hoodie,
true,Club Fantasy,Neo Logo Hoodie,Pink,Pink,Sweaters,Hoodies,Logo Pullover Hoodie,
true,Club Fantasy,Fantasy Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,
true,Club Fantasy,Fantasy Tee,Pink,Pastel Pink,Tops,T-Shirts,Graphic T-Shirt,
true,Club Fantasy,Fantasy Hoodie,Black,Black,Sweaters,Hoodies,Graphic Pullover Hoodie,
true,Club Fantasy,After Hours v2 Tee,Pink,Pastel Pink,Tops,T-Shirts,Graphic T-Shirt,
true,Noah NYC,Corduroy Adjustable Work Pant,Beige,Fawn,Bottoms,Trousers,Corduroy Trousers,https://cdn.shopify.com/s/files/1/1007/8070/products/P4SS20_fawn_front_1600x.progressive.jpg?v=1586441583
true,Noah NYC,Triple Stripe Top,Beige,Tan,Tops,T-Shirts,Striped T-Shirt,
true,Noah NYC,Rugby Chore Jacket,White,Multi,Jackets & Coats,Jackets,Striped Shacket,https://cdn.shopify.com/s/files/1/1007/8070/products/KN23SS20_front_1600x.progressive.jpg?v=1583442644
true,Noah NYC,Pajama Top,Blue,Blue Stripe,Tops,Button-Downs,Striped Button-Down Shirt,https://cdn.shopify.com/s/files/1/1007/8070/products/S7SS20_front_1600x.progressive.jpg?v=1581111804
true,Noah NYC,Watercolor Floral Shirt,White,White,Tops,Button-Downs,Graphic Button-Down Shirt,https://cdn.shopify.com/s/files/1/1007/8070/products/S12SS20_back_1600x.progressive.jpg?v=1587052525
true,Noah NYC,Zip Work Shirt,Blue,Teal,Tops,Button-Downs,Zip-Up Shirt,
true,Ksubi,Drugs are Dumb Tee,Black,Black,Tops,T-Shirts,Logo T-Shirt,
true,Kith,Mercer 6 Ripstop Nylon Pants,Beige,Travertine,Bottoms,Trousers,Nylon Sweatpant,https://cdn.shopify.com/s/files/1/0094/2252/products/KH6317-104_144.progressive.jpg?v=1589222585
true,Fear of God Essentials,S20 Short Sleeve Tee,Black,Black,Tops,T-Shirts,Big Logo T-Shirt,
true,Aalfric Eden,Summer Devil Print Shirt,Pink,Pink,Tops,Button-Downs,Print Button-Down Shirt,
