title,subtitle,color,supplier_color,size,supplier,supplier_order_id,order_date,cost,supplier_shipping_cost,status
Aime Leon Dore,Longsleeve Fleece Tee,Navy,Flag Navy,S,Kith,1091434,3/4/2020,120.3533333,1.666666667,available
Aime Leon Dore,Longsleeve Fleece Tee,Black,Black,S,Kith,1091434,3/4/2020,120.3533333,1.666666667,available
Aime Leon Dore,Longsleeve Fleece Tee,Black,Black,M,Kith,1091434,3/4/2020,120.3533333,1.666666667,available
Aime Leon Dore,Fleece Colorblocked Longsleeve Tee,Navy,Navy,L,Kith,1091434,3/4/2020,130.3533333,1.666666667,available
Aime Leon Dore,Fleece Colorblocked Longsleeve Tee,Navy,Navy,M,Kith,1091434,3/4/2020,130.3533333,1.666666667,available
Aime Leon Dore x New Balance,Nylon Track Pant,Red,High Risk Red,L,Aime Leon Dore,69695,3/12/2020,204.0944737,0,available
Aime Leon Dore x New Balance,Nylon Pullover,Red,Red,XL,Aime Leon Dore,69695,3/12/2020,259.0944737,0,available
Aime Leon Dore x New Balance,Deep Pile Pull-Over,Beige,Parmesan,XL,Aime Leon Dore,69695,3/12/2020,234.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Mesh Tee,Red,Red,M,Aime Leon Dore,69695,3/12/2020,104.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Mesh Tee,Red,Red,L,Aime Leon Dore,69695,3/12/2020,104.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Mesh Tee,Red,Red,XL,Aime Leon Dore,69695,3/12/2020,104.0944737,0,available
Aime Leon Dore x New Balance,Deep Pile Pullover,Yellow,Golden Rod,L,Aime Leon Dore,69695,3/12/2020,234.0944737,0,available
Aime Leon Dore x New Balance,Deep Pile Pullover,Yellow,Golden Rod,XL,Aime Leon Dore,69695,3/12/2020,234.0944737,0,available
Aime Leon Dore x New Balance,Nylon Track Pant,Green,Evergreen,M,Aime Leon Dore,69695,3/12/2020,204.0944737,0,available
Aime Leon Dore x New Balance,Nylon Pullover,Green,Evergreen,L,Aime Leon Dore,69695,3/12/2020,259.0944737,0,available
Aime Leon Dore x New Balance,827 Graphic Tee,Beige,Oatmeal,M,Aime Leon Dore,69695,3/12/2020,109.0944737,0,available
Aime Leon Dore x New Balance,827 Graphic Tee,Beige,Oatmeal,XL,Aime Leon Dore,69695,3/12/2020,109.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Graphic Runners Tee,Yellow,Golden Rod,M,Aime Leon Dore,69695,3/12/2020,104.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Graphic Runners Tee,Yellow,Golden Rod,L,Aime Leon Dore,69695,3/12/2020,104.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Graphic Runners Tee,Yellow,Golden Rod,XL,Aime Leon Dore,69695,3/12/2020,104.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Panel Tee,Navy,Maritime Blue,M,Aime Leon Dore,69695,3/12/2020,114.0944737,0,available
Aime Leon Dore x New Balance,Longsleeve Panel Tee,Navy,Maritime Blue,L,Aime Leon Dore,69695,3/12/2020,114.0944737,0,available
